Notice ID,Publication date,Contracting authority name,Contracting authority country code,ContractID,Title,Description,Value,Currency,Awarded supplier,Awarded supplier country code,Justification
2022/S 214-614248,2022-11-07,Technische Universität München,DE,1,Cryogen-free Dilution Refrigerator,See II.1.4),663518.40,EUR,Oxford Instruments GmbH,DE,Missing: Justification
2016/S 122-218358,2016-06-28,Københavns Universitet,DK,1,Acquisition of a dilution refrigerator to Center for Quantum Devices.,We intend to purchase a dilution refrigerator system which allows for electrical measurements of nano-scale devices at temperatures below 20mK and in high magnetic fields. Establishing and controlling such conditions are a prerequisite for experimental studies of quantum effects in electrical transport through nanostructured devices.,2500000.00,DKK,Oxford Instruments,UK,Missing: Justification
2021/S 250-661356,2021-12-24,Technische Universität München - Professur für Quantum Electronics and Computer Engineering (Prof. Dr. Kai Müller),DE,1,Millikelvin Kryostat mit Vektormagnet,Lieferung und Installation eines Millikelvin Kryostat mit Vektormagnet.,539000.00,EUR,Bluefors Oy,FI,Missing: Justification
2025/S 165-565349,2025-08-29,Technische Universiteit Delft,NL,LOT-0000,11566 - Fridge,"QuTech is a multidisciplinary institute at the Delft University of Technology. Qutech’s mission is to explore and develop quantum technologies. In particular, hardware and software for quantum computing and quantum internet applications. This contract aims to acquire a dilution refrigerator for a new experimental lab. This lab’s research focuses on single-photon emitters for quantum networking applications. The primary objective is to procure a robust and reliable system that can cool down research samples to millikelvin temperatures, while providing electrical connections and optical access.",417000,EUR,Bluefors Oy,FI,Missing: Justification
2023/S 089-272612,2023-05-08,University of Copenhagen,DK,1,Acquisition of two dilution refrigerators,"The experimental tasks in my upcoming InnovationFund and Novo Nordisk Foundation Quantum Computing Programme project requires me to operate and develop sensitive superconducting qubit experiments at ~10 mK. Establishing and controlling such conditions, as well as sharing techniques and samples between multiple experimental setups involved in this work are a prerequisite for experimental success in establishing infrastructure for realizing a logical qubit with superconducting qubits. Over the last few years, we have developed experience with Bluefors XLD dilution refrigerators that have been shown to be exceedingly compatible with exactly the type of research to be conducted.",1600000.00,DKK,Bluefors Oy,FI,"Two cryostat systems are required (of the same general design), one with 400µW and one with 1000µW of cooling power at 100mK (corresponding to 16µW and 34µW at 20mK). The systems should be compatible with each other (wiring, loading, shielding etc), and be compatible with very high coherence superconducting qubit measurements and very high fidelity operations. In particular we will need cryostats that have already demonstrated compatibility with >1 ms T1 times of fluxonium and >99.9% fidelity two-qubit gate operations of transmon/fluxonium qubits. In particular, the research to be conducted involves developing and benchmarking very high coherence superconducting transmons , fluxonium, and other related qubit architectures, as well as operating them to high fidelity. A cornerstone of the planned research with both System 1 and System 2 will be to benchmark superconducting qubit devices produced in a novel way that is expected to dramatically increase the device cleanliness leading to very long coherence times. We expect to fabricate devices with T1 coherence times exceeding 1ms, ultimately compatible with up to ~400 qubits on a experimental cooldown, necessitating a combination of very high cooling powers, significant sample space at the mixing chamber and cryostats that have previously demonstrated compatiblity with >1ms T1 times and high fidelity gates. To the best of our knowledge BlueFors systems have demonstrated compatibility with T1 >1ms in fluxonium superconducting qubits and is the only commercially available cryostat to have done so. Moreover, there is a laboratory constraint that necessitates the use of BlueFors XLDs: System 1 and System 2 will replace two previous Bluefors cryostats that were installed in the intended lab where the research is to be executed. To the best of our knowledge, Bluefors is the only manufacturer that can readily make a cryostat with identical foot print, mechanical and infrastructure requirements (pulse tube cooling, ceiling hangers, electricity requirements), which are already directly compatible with all the infrastructure that was set up for the previous BlueFors XLDs. Finally, this resesarch will be conducted in partnership with other research labs (external to U of CPH) currently using BlueFors cryostats of similar make to System 1 and System 2. Interchanging samples to compare and contrast performance will be a central component of the research to be conducted, thus necessitating that the systems to be used for the research is of similar make and model. Because the fridge will be used for extensive calibration, prolonged times at base temperature is essential, here Bluefors has a patent (EP 3167235B) for long-lived cold traps that enable XLD base operation for up to 3 years, without warming up. Due to space constraints in our laboratory, these two cryostats will physically replace two previously existing Bluefors XLD cryostats which does not belong to our research activities and were removed for other purposes."
2025/S 2-2838,2025-01-03,CEA Grenoble,FR,LOT-0001,Fourniture d’un réfrigérateur à dilution de type « cryogen free » (cryostat),"Le CEA/IRIG souhaite acquérir un réfrigérateur à dilution de type « cryogen free » (cryostat). Le présent marché comporte les options suivantes : - La fourniture d’un un système à chargement par le bas pour échanger un échantillon sans ouvrir le réfrigérateur. Un tel chargeur doit permettre la mise à la terre ou la polarisation de l'échantillon pendant le chargement. - Le transport, assurance comprise, selon les conditions DAP CEA Grenoble (Convention Incoterms ICC 2020). - La fourniture de 12 paires torsadées (24 fils au total) depuis la bride extérieure de température ambiante jusqu'au-dessous de la plaque 4 avec connecteur, une résistance de chaque fil inférieur à 3 Ohm et un connecteur break-out sur la plaque 5. - La fourniture de 24 paires torsadées (48 fils au total) de la bride à température ambiante à la plaque 1, une résistance inférieure à 30 Ohm, des connecteurs de dérivation sur la plaque 4. De la plaque 1 à l'entrée de l'emplacement de l'échantillon, les paires torsadées peuvent avoir un blindage mis à la terre. - La fourniture de 10 lignes coaxiales semi-rigides CuNi assorties de 50 Ohm depuis la bride à température ambiante jusqu'au-dessous de la plaque 1 avec des connecteurs SMA et des atténuateurs cryogéniques sur chaque plaque. Les atténuateurs de traversée sont préférés. Chaque ligne depuis la bride de température ambiante jusqu'au-dessous de la plaque 1 doit avoir moins de 20 dB de perte d'insertion de 0 à 18 GHz et plus de 15 dB de perte de réflexion dans les deux sens de 0 à 18 GHz dans un système adapté de 50 Ohms. - Fourniture d’une ligne coaxiale semi-rigide à lecture adaptée de 50 Ohm depuis le dessous de la plaque 1 jusqu'à la température ambiante équipée de lignes coaxiales supraconductrices en NbTi de la plaque 1 à la plaque 4. Cette ligne devrait également inclure des pièces pour l'ancrage thermique d'un amplificateur installé sur la plaque 4. Cette option doit également inclure des lignes de polarisation CC spécifiques pour l'amplificateur, distinctes du câblage CC des options 3 et 4.",1,EUR,BLUEFORS,FI,Missing: Justification
2021/S 225-590641,2021-11-19,Technische Universiteit Delft,NL,1,sub-Kelvin fridge,"A fridge for quantum optics experiments is sought. The experiments require subKelvin temperatures with several mW of cooling power and a 1T-1T-1T vector magnet. The experiments will happen with color centers in diamond positioned in nanophotonic devices, which will be coupled with optical fibers using piezoelectric nano positioners. On top of this the experiment requires DC and MW lines and free space optical access. The system shall be upgradable to a dilution refrigerator for flexibility of future experiments.",443000.00,EUR,Bluefors Oy,FI,Missing: Justification
2017/S 046-085146,2017-03-07,Science and Technology Facilities Council,UK,PR16079,UK SBS PR16079 Muon Cryogenics Equipment.,"Tenders are invited to provide the Science and Technology Facilities Council (STFC) with an integrated suite of sample environment equipment for use on the EC Muon Beamlines, which form part of the ISIS Neutron and Muon facility. The equipment includes a 4He cryostat together with dilution fridge and 3He inserts, to enable facility users to conduct experiments from millikelvin temperatures to above room temperature.",612920,GBP,Oxford Instruments Nanotechnology Tools Ltd,UK,Missing: Justification
2019/S 076-180691,2019-04-17,Commissariat à l'énergie atomique et aux énergies alternatives (CEA),FR,1,Fourniture d'un cryostat à dilution sans liquide cryogénique pour le site CEA de Saclay,"Le marché porte sur la fourniture d'un cryostat à dilution sans liquide cryogénique pour le compte de l'Institut rayonnement-matière de Saclay (Iramis). Les prestations comprennent: — la fourniture de l’équipement équipé d’un cadre de support robuste avec une plaque supérieure en aluminium renforcée (variante no 1 retenue par le CEA), — la livraison de l’équipement sur le site de Saclay, — l’installation de l’équipement dans les locaux du CEA, — la fourniture des programmes d’essais pour la réception sur site, — les essais sur site à Saclay, — la fourniture d’un dossier constructeur comprenant tous les documents nécessaires à l’exploitation et à l’entretien de l’équipement, — la formation d’utilisateurs CEA, — la garantie de l’équipement pour une durée de 24 mois, — l’option no 4 relative à la fourniture d’un aimant 3 axes générant un champ magnétique 1T/1T/1T intégrée à la tranche ferme.",403100.00,EUR,Bluefors Oy,FI,Missing: Justification
2016/S 059-099464,2016-03-24,CNRS Délégation Alpes,FR,2017246,AOO08-2015.,Dilution à tube pulsé (CNRS-Neel).,267500,EUR,Bluefors Cryogenics Oy Ltd,FI,Missing: Justification
2022/S 146-417596,2022-08-01,Centre National de la Recherche Scientifique,FR,2026024,FOURNITURE D’UN REFRIGERATEUR A DILUTION POUR LES EXPERIENCES AVEC LES CIRCUITS SUPRACONDUCTEURS DANS LE CADRE DU CALCUL NEUROMORPHIQUE QUANTIQUE POUR L’UMR 137.,Offre de base (fournitures) : Réfrigérateur à dilution. Prestation supplémentaire éventuelle obligatoire 1 (fournitures) : support et isolation phonique. Prestation supplémentaire éventuelle obligatoire 2 (fournitures) : Aimant 3D à 20 mK.,553000.00,EUR,BLUEFORS OY,FI,Missing: Justification
2024/S 70-207710,2024-04-09,Lehrstuhl für Experimentalphysik (Prof. Eichler),DE,LOT-0001,Kryostat,"Die Forschung an supraleitenden Schaltkreisen erfordert zur Durchführung der Experimente einen Kryostaten, der die zu untersuchenden Proben auf wenige Tausendstel Grad oberhalb des absoluten Temperaturnullpunkts abkühlen kann (Millikelvin-Bereich). Die hierzu ausgeschriebene Apparatur ist daher eine Grundvoraussetzung für die Umsetzung am Lehrstuhl geplanter Forschungsvorhaben. Es wird insbesondere ein Kryostat mit hinreichend großem Experimentierbereich gesucht, um Experimente zu skalierbaren Architekturen für das Quantencomputing durchzuführen.",0.01,EUR,BlueFors,DE,"Der zu beschaffende Kryostat wird für Forschungsarbeiten in einem Drittmittelprojekt mit zeitlich klar definierten Zielvorgaben benötigt. Insbesondere für die Zusammenarbeit mit Projektpartnern, die auf die an der FAU erzielten Forschungsergebnisse angewiesen sind, ist ein schnellstmöglicher Beginn der Experimente mit dem zu beschaffenden Kryostaten erforderlich."
2023/S 184-576667,2023-09-25,University of Copenhagen,DK,1,L-TYPE RAPID w. 55 mm puck and magnet,"We are looking to buy a dual-ADR refrigerator. It is a versatile system for cooling down sample all the way to 100 mK within 4 hours. Besides the two ADR magnets, it also has a third sample magnet up to 4 tesla. Such a tool will be essential for fast electrical characterization of the novel materials we plan to develop at NQCP. The system will simultaneously be used for teaching purposes, for which the fast cool down time is essential.",491055.00,EUR,Kiutra,DE,"The following is crucial for our choice of cryostat for quick electrical characterization and teaching: The cryostat must be able to maintain 300 mK and reach and hold 100 mK for >3 hour, to see certain physical phenomena. We will be looking at low critical temperature superconductors like Al, as well as quantum phenomena like quantum point contact steps, quantum dots, and fractional quantum Hall effect where thermal broadening can blur the effects making them unmeasurable. For long scans, it is essential to maintain a constant temperature below 500 mK for many hours or days. Certain measurements require a temperature of 100 mK. Must support temperature sweeps from base up to 200 K. Temperature dependence of measurable quantities are need to extract certain material parameters. Therefore temperature sweeps from base up to 200 K are essential. DC + RF in the same system Some of our characterization tests will need a combination of DC and RF measurements making it essential to have options both available in the same cool down. To enable simultaneous cooldown of multiple devices on the same chip we want 48 or more DC lines and 4 or more RF lines. Integrated filters for low electron temperatures Besides the sample stage, our electrons also need to be cold for our experiments. Filters like the RF+RC QFilters are essential for all DC lines. Without proper filtering, the electrons will be much hotter than the measured stage temperatures. Fast cooldown times below 4 hours. We need a system that you can cool down in the morning and then have it at base in the afternoon. This allows a fast feedback loop for our characterization efforts which will be crucial for our material development efforts. Also, for teaching purposes, this allows students to experience loading, cooldown and measurements in a single day. Magnetic fields of 4 tesla or more Some of our experiments, like quantum Hall, will require multiple tesla applied perpendicular to our samples ADR refrigeration is required. We want to teach our students about ADR refrigeration, for which seeing and controlling the field and temperature curves in real life is an ideal learning experience. Cross compatibility with QBoards We aim to have all measurement setups using QBoards. This allows transfer of samples to different measurement setups without having to rewire. Rewiring can destroy devices and should therefore be avoided whenever possible. If any of the above is unclear, then we can supply additional information."
2022/S 040-101320,2022-02-25,Chalmers Tekniska Högskola Aktiebolag,SE,1,Cryogen-free low-vibration dilution refrigerator,Procurement and delivery of one Cryogen-free low-vibration dilution refrigerator.,467367,EUR,Bluefors Oy,FI,Missing: Justification
2020/S 255-640294,2020-12-31,Max-Planck-Institut für Physik,DE,1,Dry Dilution Refrigerator,COSINUS (Cryogenic Observatory for Signatures seen in Next-generation Underground Searches) is a new experiment for the direct detection of dark matter based on scintillating cryogenic calorimeters using Sodium Iodide (NaI) scintillating crystals. To provide the low temperatures (< 10 mK) necessary to operate COSINUS detectors we plan to use a newest-generation dry dilution refrigerator which can be operated without regular liquid helium refills and which allows for a maintenance-free (except of e.g. filling the liquid nitrogen cold trap of the mixing circuit) and automated operation over time scales of at least 1 year. Special emphasis is put on the low-noise design of the cryogenic system as low-temperature calorimeters are known to be very sensitive to vibrational noise. To reach our physics goal an ultra-low vibrational technology/level is mandatory. The main emitter of vibrational noise in a dry cryogenic system is the pulse-tube cooler itself. To minimise this vibrational noise advanced decoupling solutions that mechanically isolate the head of the pulse tube from the Cryostat body carrying the dilution unit And the experimental volume are required.,1.00,EUR,Cryoconcept France,FR,Missing: Justification
2019/S 140-344582,2019-07-23,Technische Universität München,DE,001/2019,Kryostat,"— dry dilution refrigerator with insert, — 3He-4He dilution unit with welded step heat exchanger and no soft-solder joints in the dilution unit. The dilution unit must be exchangeable without removing the wiring of the cryostat and the copper plates at all cooling stages, — pulse-tube cooler PT420-RM or equivalent and a linear motor drive of the rotary valve, — guaranteed base temperature of <10mK, — experimental volume of at least 30cm in diameter and 60cm in height, — a minimum cooling power of 500uW at 100mK and 16uW at 20mK with the compressor bypassed, — cool-down time from 300K to 10mK in <24 hours, — an appropriate Gas Handling System (GHS) including all necessary pumps, compressors, flow meter, valves, mixture tanks, etc. The GHS must be fully automatic (i.e. software controlled). The entire cooling cycle is software controlled and automatic, including the GHS, but also must allow for manual control of the refrigerator. All pumps and compressor are oil-free. The control unit must automatically recover from power faults in a manner that ensures the safety of the refrigerator, — control unit including the possibility for full remote control, including software and process control system, — the cold trap must allow for proven continuous refrigerator operation (experimental proof in an existing system) without the need of any liquid cryogenics for > 2 years. The system must be integrated in the dry fridge, — support frame for the cryostat, — a central rod in the dilution fridge that allows for a maximum load of at least 200kg below the mixing chamber plate, without affecting the cooling performance of the cryostat. Baffels of metal plates that might be installed in the rod at different temperature stages acting as radiation shields have to be removable in order to install a custom-made spring system (provided by TUM) from 300K to 10mK at a later stage, — heavy duty support frame to damp vibrations and to stand the extended payload of the setup, — all components for the interconnection of dry dilution refrigerator and the gas handling system with all necessary measures to decouple mechanically and electronically, — thermometry at different temperature stages including readout and control, — full documentation of all processes required for the operation and control of the refrigeration, — superconducting NbTi wiring (56x2 channels) from 4K to mixing chamber and Cu wiring (56x2 channels) from 300K to 4K with appropriate connectors and a breakout box at room temperature, — a system for He-4 condensation into a reservoir on the 4K temperature stage (‘He battery’) which allows a temporary operation (typically >3h) of the refrigerator at base temperature with the pulse-tube cooler being switched off. Including all necessary equipment, tubing, heat exchanger and connections to He supply at 300K. The functionality of the system has to be experimentally proven in an existing setup and must be commercially available, — manual operation and control of the system via a control panel, — custom layout of the system to adapt it to the laboratory at TUM and ready-to-operate installation and proof of operation of the system on-site at TUM, including operating instructions and training for TUM, — the He4/He3 mixture is not part of the supply contract, and will be provided by the TUM. The necessary information (amount and mixing ratio) will be provided by the contractor well before the installation at the TUM. The provided mixture will be inserted during the installation of the system on-site, — the rotary pump for the mixing circuit is not part of the supply contract, and will be provided by TUM.",390000.00,EUR,Bluefors Oy,FI,Missing: Justification
2016/S 069-120167,2016-04-08,Delft University of Technology,NL,0,"Dilution refrigerator with high cooling power, wide diameter, and top-loading sample exchange for large-scale superconducting qubit research.","Dilution refrigerator with high cooling power, wide diameter, and top-loading sample exchange for large-scale superconducting qubit research.",Missing: Amount,Missing: Amount,Leiden Cryogenics B.V.,NL,Missing: Justification
2025/S 88-294182,2025-05-07,Forschungszentrum Jülich GmbH,DE,LOT-0000,W10-42369463 Spezieller Kryostat und Zubehör für das PGI-11,Spezieller Kryostat und Zubehör für das PGI-11,221000,EUR,Qinu GmbH,DE,"Nachfolgende technische Anforderungen werden nur durch das System der Fa. Qinu GmbH vollumfänglich erfüllt: Situation am PGI-11: 1. Die am Institut verfügbaren Kryostaten zeichnen sich durch lange Ein- und Abkühlzeiten aus (ca. 36h). Die Verwendung einer Ladevorrichtung, mit der der Kryostat nicht komplett aufgewärmt werden muss, kann diesen Zeitraum auf ca. 13 Stunden reduzieren, lässt jedoch auf Grund der technischen Einschränkungen nur eine Messung von max. 2 Proben bei einer äußerst geringen Anzahl an Leitungen (max. 48 Gleichstromleitungen und 14 Hochfrequenz Leitungen) gleichzeitig zu. Für Langzeitmessungen weniger einfacher Proben ist dies ausreichend, jedoch würde dieser Rhythmus keinen statistisch relevanten Durchsatz für die Zwecke des PGI-11 ermöglichen. 2. Die Größe und Unterbringung eines handelsüblichen Mischkryostaten, der eine Raumhöhe von 4m (mit Ladevorrichtung) notwendig macht und sowohl den einfachen Zugriff zur Oberseite mit der Messverkabelung als auch zur Unterseite, wo die Proben eingebaut werden, erlauben muss, macht neben dem hohen Anschaffungspreis den parallelen Betrieb von mehreren Kryostaten zur Durchsatzsteigerung zum einen wirtschaftlich schwierig und zum anderen muss passender Laborraum bereitgestellt werden. Technische Anforderungen Das PGI-11 benötigt daher zur agilen Massencharakterisierung von Halbleiterproben einen neuen Kryostaten, der: 1. eine Abkühlzeit von wenigen (2-5) Stunden aufweist 2. eine Aufwärmzeit von wenigen (1-2) Stunden aufweist 3. Ohne Ladevorrichtung auskommt und somit viele Proben auf einmal bzw. komplexe Proben mit vielen Leitungen (>100) aufnehmen kann 4. einen guten barrierefreien Zugriff zur Messverkabelung aber auch Proben zulässt (Tischgerät) 5. eine kleine Grundfläche hat (ca. 300 mm) 6. keine besonderen Anforderungen an die Laborräume stellt (kompaktes, alleinstehendes System)"
2022/S 093-254123,2022-05-13,CNRS Rhône Auvergne,FR,2025746,Marché d’acquisition d’un réfrigérateur à dilution sans hélium liquide,Le présent marché a pour objet l’acquisition et l’installation d’un réfrigérateur à dilution sans hélium liquide possédant un aimant vectoriel.,517140.00,EUR,Bluefors Oy,FI,Missing: Justification
2023/S 234-738172,2023-12-05,Universität Innsbruck,AT,LOT-0001,Beschaffung eines fabrikneuen Trocken-Misch-Kryostaten mit kurzen Kühlzeiten,"Beschaffung eines fabrikneuen Trocken-Misch-Kryostaten mit kurzen Kühlzeiten für das Institut für Experimentalphysik der Fakultät für Mathematik, Informatik und Physik der Universität Innsbruck.",524960,EUR,Qinu GmbH,DE,Missing: Justification
2021/S 108-284720,2021-06-07,Technische Universiteit Delft,NL,1,2021-9942-Dilution Refrigerator system,"Qutech at TU Delft has purchased a cryogen-free dilution refrigerator that allows for continuous, uninterrupted operation at base temperature for >1.5 years, without the requirement for any liquid cryogenics. After internal consultation and market research, Qutech has identified the Bluefors model XLD400sl as the only instrument that features all of the requirements. It is also required to purchase a dilution refrigerator that is compatible with the previously purchased cryostats in 2016 and 2017, as they will be used in the same experiment and setup. The specifications are required to be identical in order to guarantee an uninterrupted transfer between the cryostats. Including transfer of self designed accessories such as coldfingers, cabling components and specialized thermal shields. In order to continue and expand the current capabilities, detailed Specifications are laid out, highlighting the need for an equal cryostat to the existing one.",604000.00,EUR,Bluefors Oy,FI,Missing: Justification
2018/S 004-004678,2018-01-06,Chalmers Tekniska Högskola Aktiebolag,SE,1,Cryogen-Free Dilution Refrigerator,A system providing fast turnaround times is desired enabling rapid testing of many samples.,371000,EUR,BLueFors Cryogenics Oy,FI,Missing: Justification
2018/S 137-312600,2018-07-19,Delft University of Technology,NL,1,Cryo-free dilution refrigerator for low-noise quantum transport experiments,Cryo-free dilution refrigerator for low-noise quantum transport experiments.,0.01,EUR,Oxford Instruments NanoScience,NL,Missing: Justification
2019/S 095-229331,2019-05-17,VTT Technical Research Centre of Finland Ltd,FI,1,Cryostat,The procurement is described in detail in the invitation to tender documents.,330000.00,EUR,Bluefors Oy,FI,Missing: Justification
2017/S 169-348002,2017-09-05,Missing: Contracting Authority Name,Missing: Contracting Authority Country,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots
2022/S 157-449721,2022-08-17,Technische Universität München,DE,1,Rapid Quantum Prototyping System,Procurement of one Rapid Quantum Prototyping System including all required peripheral devices such as a compressor and control electronics. This instrument must allow rapid cooldown of a device or sample from ambient to milli-Kelvin temperatures within a few hours and testing of the properties of the device or sample.,390417.36,EUR,kiutra GmbH,DE,Missing: Justification
2019/S 029-065849,2019-02-11,Missing: Contracting Authority Name,Missing: Contracting Authority Country,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots,the notice does not have lots
2019/S 220-539501,2019-11-14,Technische Universiteit Delft,NL,1,Dilution Refrigerator for Project Quantum Operations on a 1024-Qubit Processor,The subject of the contract is the purchase of a dilution refrigerator with the purpose of performing experiments for the quantum operations on a 1024-qubit procesor project. The setup shall be installed at section QuTech of TU Delft. The guaranteed base temperature on the mixing chamber shall be lower than 10 mK. The cooling power at 20 mK on the mixing chamber shall be higher than 17 μW. The cooling power at 100 mK on the mixing chamber shall be higher than 500 μW.,395000.00,EUR,Bluefors Oy,NL,Missing: Justification
